name_ar,matched_indexes,matched_names_fr,reason
الشركة الأهلية الجهوية للأعلاف و اللحوم,1,الشركة الأهلية الجهوية للأعلاف و اللحوم,même nom en arabe et français
الشركة الأهلية المحلية الخير و البركة بالمقرن,28;50;76,استثمارات سيدي اسماعيل شركة اهلية محلية | الشركة الأهلية المحلية الريادة الفلاحية | الشركة الأهلية المحلية دوز الأولى,شركة الأهلية المحلية السلام - الشركة الأهلية المحلية الريادة الفلاحية - الشركة الأهلية المحلية رائدات بدوز
تيناس هنشير الخير شركة أهلية محلية,61,الشركة الأهليه المحلية بير ماطر,تيناس هنشير الخير شركة أهلية محلية correspond à الشركة الأهلية المحلية الفلاحية المستقبل
الشركة الأهلية المحلية سيريستي,16,الشركة الاهلية الجهوية البيارق للانتاج الحيواني,الشركة الأهلية الجهوية سيريستي
الشركة الأهلية الجهوية مبدعات زيكا,9,الشركة الأهلية الجهوية مبدعات زيكا,مبدعات زيكا
الشركة الأهلية المحلية التعمير بالعمامرية,12,شركة الاهلية الجهوية الماسة للطاقة,الشركة الأهلية المحلية التعمير بالعمامرية
الشركة الاهلية الجهوية الزامريجيا,19,الشركة الاهلية الجهوية الزامريجيا,الشركة الاهلية الجهوية الزامريجيا
شركة خيرات جبل برقو شركة أهلية محلية,7;34,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية | مستقبل جربة شركة أهلية محلية,شركة الأهلية المحلية الصناعة الاهلية لصناعة الطابوق الخلوي
جنان برقو للتنمية شركة أهلية محلية,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الاسم العربي ي Matches 'شركة الاهلية المحلية صناعة الأعلاف الساقية'
شركة ريحان لتربية الماشية والزراعات الكبرى شركة أهلية محلية,23,الشركة الأهلية المحلية الفلاحية المستقبل,شركة الأهلية المحلية الفلاحية
الشركة الأهلية المحلية السلام,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية بالبهلولة زانوش corresponds to شركة الأهلية المحلية السلام
الشركة الاهلية المحلية للإنتاج الجبلي بعين بوسعدية برقو,9;16,الشركة الأهلية الجهوية مبدعات زيكا | الشركة الاهلية الجهوية البيارق للانتاج الحيواني,الشركة الأهلية الجهوية للإنتاج الجبلي بعين بوسعدية برقو
الشركة الاهلية المحلية المصير للخدمات و الانتاج ببرقو,32,الشركة الاهلية المحلية صقور بأولاد حفوز,مصير للخدمات و الانتاج ببرقو
الشركة الاهلية المحلية سيدي العابد,25,بيو دو مو شركة أهلية محلية,الشركة الأهلية المحلية
الشركة الاهلية المحلية قصر البارود,24,الشركة الاهلية المحلية الأريج,الشركة الأهلية المحلية الفلاحية
الشركة الأهلية المحلية للخدمات الفلاحية النوائل,138,الشركة الأهلية المحلية للخدمات الفلاحية النوائل,الشركة الأهلية المحلية للخدمات الفلاحية النوائل
الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,18,الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة
الشركة الأهلية الجهوية عين رباو,20,الشركة الأهلية الجهوية عين رباو,适合自己化地方公司
شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,10,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية correspond à Company Tameude Logistics and Services Company أهلية جهوية
المالوسي لصناعة الآجر شركة أهلية محلية,12;25,شركة الاهلية الجهوية الماسة للطاقة | بيو دو مو شركة أهلية محلية,المالوسي لصناعة الآجر شركة أهلية محلية
الشركة الأهلية المحلية قصر عبود,23;37,الشركة الأهلية المحلية الفلاحية المستقبل | الشركة الأهلية المحلية صناعة الأعلاف الساقية,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق و شركة الأهلية المحلية صناعة الأعلاف الساقية
الشركة الاهلية المحلية صقور بأولاد حفوز,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية صقور بأولاد حفوز
الشركة الاهلية المحلية الأريج,24,الشركة الاهلية المحلية الأريج,الشركة الاهلية المحلية الأريج
الشركة الأهلية المحلية الصمود,23,الشركة الأهلية المحلية الفلاحية المستقبل,"الشركة الأهلية المحلية الفلاحية بالدكيلة أرزاق correspond à la société ""شركة الأهلية المحلية الفلاحية المستقبل"""
الشركة الأهلية الجهوية زيتونة قمودة,2,الشركة الأهلية الجهوية زيتونة قمودة,الشركة الأهلية الجهوية زيتونة قمودة
الشركة الأهلية المحلية الريادة الفلاحية,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
شركة أهلية محلية فسقية الرضاع,26,الشركة الاهلية المحلية للتربية و التعليم الأغالبة,شركة أهلية محلية
الضيعة 18 (شركة أهلية محلية),18,الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,الضيعة 18
الشركة الأهلية المحلية جبل الكبار,28;41;76;90,استثمارات سيدي اسماعيل شركة اهلية محلية | البلدي للمواد الإنشائية شركة أهلية محلية | الشركة الأهلية المحلية دوز الأولى | الشركة الأهلية المحلية بنمسلم للفلاحة,الشركة الأهلية المحلية جبل الكبار
الشركة الأهلية المحلية المصباح,34;59,مستقبل جربة شركة أهلية محلية | الشركة الأهلية المحلية المصباح,الشركة الأهلية المحلية المصباح
الشركة الأهلية المحلية المصباح,34;90,مستقبل جربة شركة أهلية محلية | الشركة الأهلية المحلية بنمسلم للفلاحة,شركة أهلية محلية
الشركة الأهلية المحلية شمس البادية,36,الشركة الأهلية المحلية شمس البادية,شركة الأهلية المحلية شمس البادية
الشركة الاهلية المحلية لخدمات الصيد البحري,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية لخدمات الصيد البحري
الشركة الأهلية المحلية صناعة الأعلاف الساقية,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,شركة الأهلية المحلية صناعة الأعلاف الساقية
الشركة الأهلية المحلية فلوكتنا صفاقس,34;44,مستقبل جربة شركة أهلية محلية | الشركة الأهلية المحلية النموذجية النويقص,شركة أهلية محلية
الشركة الأهلية المحلية العين بصفاقس الجنوبية,28;64,استثمارات سيدي اسماعيل شركة اهلية محلية | غانم الخير شركة أهلية محلية,شركة أهلية محلية
الشركة الاهلية المحلية المهذبي للطاقة,12,شركة الاهلية الجهوية الماسة للطاقة,الشركة الأهلية المحلية المهذبي للطاقة
الشركة الأهلية المحلية للخدمات العامة بقرقنة,37,الشركة الأهلية المحلية صناعة الأعلاف الساقية,شركة الأهلية المحلية للخدمات العامة بقرقنة
الشركة الأهلية المحلية النور سيدي امحمد الصخيرة,25;45;51,بيو دو مو شركة أهلية محلية | الشركة الاهلية المحلية الفلاحية الازدهار بالدوارة أم العرائس | الشركة الأهلية المحلية رائدات بدوز,الشركة الأهلية المحلية النور سيدي امحمد الصخيرة
الشركة الاهلية المحلية النصر,30,الشركة الاهلية المحلية الأولى الأمل,الشركة الأهلية المحلية النصر
افاق بليانة شركة أهلية محلية,8;50,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات | الشركة الأهلية المحلية الريادة الفلاحية,الفج بليانة شركة أهلية محلية
شركة الإرادة للفلاحة شركة أهلية محلية,23,الشركة الأهلية المحلية الفلاحية المستقبل,شركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
الشركة الأهلية المحلية النموذجية النويقص,44,الشركة الأهلية المحلية النموذجية النويقص,الشركة الأهلية المحلية النموذجية النويقص
الشركة الأهلية المحلية الوفاق,25,بيو دو مو شركة أهلية محلية,الشركة الأهلية المحلية الفلاحية المستقبل
الشركة الأهلية المحلية عقارب الجديدة,7;41,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية | البلدي للمواد الإنشائية شركة أهلية محلية,الشركة الأهلية المحلية عقارب الجديدة
شركة الأنصاف الأهلية المحلية,25,بيو دو مو شركة أهلية محلية,شركة أهلية محلية
الشركة الأهلية المحلية للتنمية المستدامة المطوية,28;36,استثمارات سيدي اسماعيل شركة اهلية محلية | الشركة الأهلية المحلية شمس البادية,الشركة الأهلية المحلية للتنمية المستدامة المطوية
الشركة الأهلية المحلية قرين أقرو,25;37,بيو دو مو شركة أهلية محلية | الشركة الأهلية المحلية صناعة الأعلاف الساقية,الشركة الأهلية المحلية قرين أقرو
الشركة الأهلية المحلية رائدات بدوز,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية روز ماري القصرين
الشركة الأهلية المحلية الخوار,40,الشركة الأهلية المحلية الخوار,للانقلاب
الشركة الأهلية المحلية مراعي الرجيم,10;30,شركة الاهلية تقمودا للنقل بسيدي بوزيد شركة أهلية جهوية | الشركة الاهلية المحلية الأولى الأمل,شركة الأهلية المحلية مراعي الرجيم
الشركة الاهلية المحلية جمنة عراجين الكرمة,24;80,الشركة الاهلية المحلية الأريج | افاق بليانة شركة أهلية محلية,الشركة الأهلية المحلية الفلاحية
الشركة الأهلية المحلية وفاق غريب,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية الأولى الأمل
خيرات نفزاوة شركة أهلية جهوية,1,الشركة الأهلية الجهوية للأعلاف و اللحوم,خيرات نفزاوة شركة أهلية جهوية correspond à الشركة الأهلية الجهوية خيرات قبلاط
الشركة الأهلية المحلية دوز الأولى,30,الشركة الاهلية المحلية الأولى الأمل,الشركة الأهلية المحلية الأولى الأمل
شركة الأنطلاق للطاقة المتجددة والأنشطة الفلاحية شركة أهلية محلية,85,شركة الأنطلاق للطاقة المتجددة والأنشطة الفلاحية شركة أهلية محلية,شركة الأنطلاق للطاقة المتجددة والأنشطة الفلاحية شركة أهلية محلية correspond à la société française 'شركة الأهلية المحلية للطاقة المتجددة والأنشطة الفلاحية'
الشركة الأهلية الجهوية ثمار الوطن,4,الشركة الأهلية الجهوية ثمار الوطن,الشركة الأهلية الجهوية ثمار الوطن
الشركة الأهلية المحلية صنعة أجدادي,8;16,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات | الشركة الاهلية الجهوية البيارق للانتاج الحيواني,الشركة الأهلية المحلية صناعة أجدادي
الشركة الاهلية المحلية للانشطة الفلاحية سيدي بوبكر,18,الشركة الاهلية الجهوية جوهرة الرقاب للفلاحة,الشركة الأهلية المحلية للانشطة الفلاحية سيدي بوبكر correspond à la société 18 de la liste française
الشركة الاهلية المحلية لاستغلال المقاطع بماجورة,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الاهلية المحلية لاستغلال المقاطع بماجورة correspond à la société 27 de la liste française: الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش
شركة أم المناجم للنقل بأم العرائس شركة أهلية محلية,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,شركة الاهلية المحلية الفلاحية بالدخيلة أرزاق correspond à شركة أم المناجم للنقل بأم العرائس
الشركة الاهلية المحلية لنقش و نحت الحجارة و صقل الرخام,30,الشركة الاهلية المحلية الأولى الأمل,الشركة الاهلية المحلية للنقل الزهد
الشركة الاهلية الجهوية لصناعة الطابوق الخلوي,21,الشركة الاهلية الجهوية لصناعة الطابوق الخلوي,الشركة الاهلية الجهوية لصناعة الطابوق الخلوي
الشركة الاهلية المحلية الفلاحية الازدهار بالدوارة أم العرائس,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الاهلية المحلية الفلاحية بالدخيلة أرزاق
الشركة الاهلية المحلية الفلاحية الخيرات بالسند,7;52,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية | بركة الفدان شركة أهلية محلية,الشركة الاهلية المحلية الفلاحية الخيرات بالسند
الشركة الاهلية الجهوية أقري عرباطة,6,الشركة الاهلية الجهوية أقري عرباطة,matches exactly
الشركة الأهلية المحلية التفوق للفلاحة النموذجية,23,الشركة الأهلية المحلية الفلاحية المستقبل,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش
الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,27,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش,الشركة الأهلية المحلية للفلاحة و الخدمات بالبهلولة زانوش correspond à la société 27 de la liste française
الشركة الأهلية المحلية خابية الطلح بلخير,7;40,شركة الاقتصاد الدائري للكربون شركة أهلية جهوية | الشركة الأهلية المحلية الخوار,الشركة الأهلية المحلية خابية الطلح بلخير
الشركة الاهلية المحلية أم الاقصاب,25,بيو دو مو شركة أهلية محلية,الشركة الاهلية المحلية الفلاحية المستقبل و الشركة الأهلية المحلية أم الاقصاب
شركة اهلية نور البركة,75,الشركة الأهلية المحلية قرين أقرو,شركة اهلية المحلية نور البركة
الشركة الأهلية المحلية الارادة للبستنة و تصرف في النفايات غير خطيرة,28,استثمارات سيدي اسماعيل شركة اهلية محلية,شركة أهلية محلية
شركة اس سي دي ام(شركة أهلية محلية),8,الشركة الأهلية الجهوية ريكارد للنقل و الخدمات,شركة اس سي دي ام(شركة أهلية محلية)
شركة زيان للنقل والخدمات بجرجيس(شركة أهلية محلية),28,استثمارات سيدي اسماعيل شركة اهلية محلية,شركة أهلية محلية
الشركة الأهلية المحلية للصيد البحري سيدي مخلوف,28;31,استثمارات سيدي اسماعيل شركة اهلية محلية | الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية للنقل الزهد
الشركة الاهلية المحلية الأمل للنسيج بسيدي مخلوف,30,الشركة الاهلية المحلية الأولى الأمل,الشركة الأهلية المحلية الأولى الأمل
الشركة الاهلية المحلية الفلاحية التحدي لتربية الماشية,26,الشركة الاهلية المحلية للتربية و التعليم الأغالبة,شركة أهلية محلية
الشركة الأهلية المحلية للتنمية الفلاحية بجرجيس نيوزار,28,استثمارات سيدي اسماعيل شركة اهلية محلية,الشركة الأهلية المحلية للنقل الزهد و الشركة الأهلية الجهوية ريكارد للنقل و الخدمات ont des similitudes avec la description de la société arabe.
الشركة الأهلية المحلية الكادحات بمنوبة,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق
الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,31,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق,الشركة الأهلية المحلية الفلاحية بالدخيلة أرزاق correspond à company 31
الشركة الجهوية الأهلية منوبة البية,11;56,الشركة الجهوية الأهلية منوبة البية | الشركة الأهلية المحلية لتنمية الصناعات التقليدية بالساحلين,الشركة الجهوية الأهلية منوبة البية
